489	66
533	542
588	285
65	618
531	586
223	51
456	5
142	555
484	99
354	531
30	120
171	446
608	236
78	31
210	504
528	300
112	258
338	178
62	286
226	236
547	501
472	89
621	231
49	389
64	19
623	268
438	126
614	426
545	35
510	219
7	238
623	385
482	374
614	437
588	459
401	169
299	254
612	233
484	65
296	299
545	600
178	181
209	51
367	452
476	24
502	205
12	213
134	400
405	333
377	299
313	596
230	487
241	503
466	624
223	75
611	2
385	44
93	129
188	592
498	295
314	437
537	22
343	457
466	523
483	493
153	329
26	163
217	91
223	313
132	475
110	318
444	243
436	367
142	346
225	50
417	500
372	607
341	283
396	624
507	68
307	240
155	354
467	7
209	597
553	65
442	116
347	610
604	81
530	102
543	539
579	269
363	74
67	81
161	58
220	574
13	160
600	257
478	376
337	557
83	594
370	163
256	434
287	367
390	551
402	299
593	416
64	478
511	43
167	398
278	611
69	401
197	620
17	228
231	355
349	202
454	86
311	213
518	20
15	143
529	241
93	26
508	352
521	294
597	570
208	12
421	38
346	494
109	32
254	89
273	161
10	473
250	437
125	555
504	256
526	584
301	608
215	281
363	282
490	450
76	518
339	321
365	30
604	378
464	72
531	216
492	258
410	68
275	335
502	595
596	30
212	46
457	565
522	291
364	492
226	484
340	123
378	442
377	614
71	471
409	423
144	489
175	410
305	317
306	104
242	144
209	37
22	120
336	416
59	569
471	178
534	520
154	221
174	36
326	57
491	75
469	63
348	581
500	428
21	194
71	98
300	557
275	146
86	436
231	132
596	209
506	391
258	538
472	8
291	261
22	493
203	412
185	505
272	5
220	392
437	134
270	371
83	559
500	534
55	345
378	553
493	67
135	278
308	563
527	557
141	14
19	143
585	529
391	88
291	245
92	306
235	159
505	209
536	93
274	332
354	401
188	50
278	475
129	482
57	276
19	362
84	228
388	177
408	569
456	28
176	576
465	211
556	327
107	477
219	167
8	572
500	117
498	20
239	329
331	517
413	414
427	26
380	215
268	257
147	183
272	70
533	538
377	42
412	135
607	408
567	448
321	51
173	239
38	396
140	343
15	488
571	154
586	171
277	16
417	582
168	59
349	350
143	370
309	127
137	71
75	163
473	304
245	412
619	445
12	448
400	39
378	138
578	96
413	316
340	168
308	507
220	443
259	228
235	550
82	241
528	291
72	63
599	539
300	39
423	356
486	522
482	371
79	402
234	103
442	171
99	120
373	228
385	506
431	370
414	251
107	80
135	78
400	238
150	190
245	576
537	571
420	494
102	8
103	308
201	512
371	256
246	293
213	205
448	192
58	457
390	330
42	544
94	179
433	200
506	73
470	356
356	202
508	593
117	299
313	102
6	254
359	566
133	24
260	210
513	602
524	452
219	96
613	504
552	625
300	20
386	206
154	508
120	471
565	24
62	282
592	526
13	422
262	144
560	360
279	561
504	40
504	564
200	357
494	100
29	139
443	175
151	73
110	386
213	316
355	42
143	421
492	590
499	533
473	246
522	141
110	44
442	90
470	208
111	289
528	585
556	613
388	315
524	269
583	61
166	199
56	576
160	384
623	394
336	115
274	461
233	343
621	583
319	108
615	11
534	594
422	7
288	364
52	61
357	175
569	233
121	237
506	176
163	132
169	324
55	402
92	54
153	316
20	352
431	335
207	284
124	526
118	16
115	483
179	620
433	577
565	354
69	324
229	458
406	247
252	135
21	320
529	546
606	175
583	6
559	224
338	604
295	172
211	151
275	603
410	514
263	498
491	616
301	546
273	413
263	523
45	125
56	215
606	66
161	189
279	422
376	273
250	144
81	608
203	625
189	136
413	70
195	201
461	213
30	460
462	308
291	418
209	390
608	343
370	153
323	382
75	87
52	77
67	275
385	575
438	424
551	203
447	226
108	101
2	4
287	177
400	239
421	99
275	98
543	555
34	361
282	421
342	45
588	454
307	250
138	235
134	307
551	185
61	296
530	14
472	581
443	409
508	180
223	346
284	232
211	576
12	552
541	146
415	352
260	68
554	611
8	96
572	444
392	75
231	526
452	474
612	417
533	51
147	566
138	272
588	373
10	320
42	207
248	489
209	82
216	403
486	116
76	586
430	201
125	89
442	165
14	258
573	506
608	59
550	473
123	111
542	16
331	389
167	575
126	554
229	115
146	181
44	272
456	418
288	39
162	429
286	359
594	263
35	161
458	26
350	306
355	78
609	177
414	358
102	294
384	564
479	324
88	141
335	107
188	39
548	21
161	129
48	510
200	581
489	484
605	116
408	299
170	69
38	145
226	306
484	469
253	510
528	573
345	398
164	371
141	124
202	598
467	167
263	463
54	477
526	134
578	581
381	384
1	111
549	288
358	14
64	417
456	224
115	198
261	213
545	386
181	331
556	326
444	597
591	15
425	191
102	231
204	100
371	23
134	464
511	563
395	241
534	400
515	292
263	53
256	225
296	60
66	168
110	574
215	8
193	305
76	431
344	449
469	357
410	331
343	32
97	549
24	192
36	492
502	587
582	462
542	539
